Model,model,model_name,model_type,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,calibration_method,test_universe,test_period,support,weighted_support,positives,observed_prevalence,mean_calibrated_predicted_probability,PR-AUC,average_precision,ROC-AUC,roc_auc,weighted_brier_score,Brier,weighted_logloss,reliability_ece,reliability_mce,reliability_rmse,daily_expected_observed_count_mae,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,calibration_intercept,calibration_slope,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,weighted_brier_score_error,weighted_logloss_error,expected_observed_count_ratio_error,mean_calibrated_predicted_probability_error
CatBoost,CatBoost,CatBoost,CatBoost,all features,all features,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,1.1623312080966443e-05,0.0113233296637867,0.0113233296637867,0.9455170168547762,0.9455170168547762,0.0001966411606989,0.0001966411606989,0.002062665037004,0.0002003280777125,0.001868910683386,0.0005728208305505,0.9800515077120124,0.0786026200873362,0.045,0.3103448275862069,5.643573360151477e-05,200.0,-0.0606659182315498,0.7519444776386838,1.7140549626438788,29.0,0.0591053435394441,0.0,0.0041930573632159,0.0310879800465404,0.0163178487966126,9.881553725564363e-10,3.6518113879417615e-06,0.000138079982667,2.7615996533403308e-08
CatBoost,CatBoost,CatBoost,CatBoost,all features,all features,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,2.124266513891402e-05,0.0002390050520355,0.0002390050520355,0.7614316748794574,0.7614316748794574,0.000103651279678,0.000103651279678,0.0011022578560903,9.347018622944538e-05,0.0005194307614837,0.000153828274851,0.54062293258347,0.0006216420230007,0.0003110281702657,0.4666666666666667,3.2375822786830503e-05,22506.0,-0.0754597908379054,0.8451648149581498,3.07398358692197,15.0,0.2049322391281313,0.0,0.0002265771546085,0.023292658871219,0.0008513463197634,1.321622710560601e-09,1.552028300925961e-05,0.0010730986923189,1.0730986923189525e-07
CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost,all features,all features,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.9508513894127813e-05,0.0001020856996429,0.0001020856996429,0.4663520459204189,0.4663520459204189,9.951025018997562e-05,9.951025018997562e-05,0.0010987987582672,8.558497872002316e-05,0.0003374370087513,0.0001248948903503,9.82668884879336,0.0003061207669973,0.0001531891626916,0.1820728291316526,1.957214337597572e-05,424312.0,-0.0777737269168899,0.8433804808550662,69.98570111840546,357.0,0.1960383784829284,0.0,3.110351943603285e-05,0.1152080542954829,3.0886370994562384e-05,1.754591920975108e-12,4.495898039706319e-08,1.8322231897707653e-07,1.8322231898018147e-11
CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost,all features,all features,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,1.9511662415663483e-05,8.221948510290844e-05,8.221948510290844e-05,0.4399625699031426,0.4399625699031426,9.004936729916822e-05,9.004936729916822e-05,0.000996174113591,7.58607614115881e-05,0.0002622325003646,0.0001057175748996,6.713744458440959,0.0002023007108111,0.0001012257518312,0.1358024691358024,1.957214337597572e-05,326004.0,-0.0777600251435639,0.843220165704076,52.650777165649146,243.0,0.2166698648792145,0.0,3.8015542892791175e-06,0.11529645148285,4.986830311463313e-08,1.739650120375787e-12,4.4575711410870304e-08,3.649392829628663e-06,3.6493928296333017e-10
CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost,all features,all features,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,1.952395161278784e-05,0.0001785111607542,0.0001785111607542,0.3469116884198198,0.3469116884198198,0.0001966468718178,0.0001966468718178,0.0021520857540935,0.0001986086623602,0.0012011704588914,0.0004058236962239,1.0103986835554122,0.0004063331932184,0.0002032078816629,1.0,1.9499553315257803e-05,142711.0,-0.0720171328380663,0.7809234525077879,2.8791385724829834,29.0,0.0992806404304477,0.0,8.04215821393237e-07,0.003275443369044,9.037838050021782e-07,2.8753142294864487e-14,7.414135580165744e-10,3.706995905720448e-06,7.413991811459561e-10
CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost,all features,all features,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,1.941372841339173e-05,0.0001001999115792,0.0001001999115792,0.430262694117891,0.430262694117891,0.0001036533793969,0.0001036533793969,0.0011442379466461,0.000103683466703,0.0005334748798741,0.0001611433545681,0.5335803721684214,0.0002511931675458,0.0001258336479174,0.0666666666666666,1.957214337597572e-05,7947.0,-0.077372166761666,0.8393594157422226,2.8093218112450904,15.0,0.1872881207496727,0.0,1.1253899583427076e-05,0.174610964206144,5.682611737480668e-05,4.802349566193966e-12,1.240421376814745e-07,1.6502692699255956e-05,1.650269269925737e-09
Weather-only CatBoost,Weather-only CatBoost,Weather-only CatBoost,CatBoost,meteorology/history features only,meteorology/history features only,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.924982485399986e-05,0.0001631001659611,0.0001631001659611,0.6611154924637753,0.6611154924637753,9.951014733547307e-05,9.951014733547307e-05,0.0010962237663405,8.939366715555468e-05,0.0003530320537516,0.000126890329852,9.849075356915664,0.0004200703617855,0.0002101477338569,0.392156862745098,2.051833093387501e-05,666198.0,-0.077437900934892,0.8426924051308855,69.05766867353267,357.0,0.1934388478250215,0.0,6.952424584812258e-06,0.0085745271746043,3.648425983274768e-05,7.423945613295119e-12,2.065647108507711e-07,0.000123203926123,1.2320392612306358e-08
Weather-only CatBoost,Weather-only CatBoost,Weather-only CatBoost,CatBoost,meteorology/history features only,meteorology/history features only,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,1.941404601380001e-05,0.0001482910200783,0.0001482910200783,0.6671911775458208,0.6671911775458208,9.004925585310332e-05,9.004925585310332e-05,0.0009933860198697,8.466295003825684e-05,0.0003434785827061,0.0001230544591766,6.720260296783343,0.0003622426923517,0.0001811965811965,0.4362139917695473,2.043099212680784e-05,585000.0,-0.0775403839457747,0.843008530697194,52.38736652883431,243.0,0.21558587048903,0.0,0.0021329716089264,0.1416388133182324,0.0084209668001438,1.251287159350801e-10,3.0435131664166105e-06,5.547145320794544e-05,5.5471453207923435e-09
Weather-only CatBoost,Weather-only CatBoost,Weather-only CatBoost,CatBoost,meteorology/history features only,meteorology/history features only,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,1.917004356465168e-05,0.0074458201939577,0.0074458201939577,0.879707823417067,0.879707823417067,0.0001966466260438,0.0001966466260438,0.0021459683890038,0.0002039991837403,0.0018791312906983,0.0005064696138088,1.0090101658896966,0.0419580419580419,0.0225,0.3103448275862069,2.1099818868239274e-05,400.0,-0.0715780730063661,0.7800391555258188,2.8269488143484884,29.0,0.0974809935982237,0.0,0.0007395581907036,0.000344783512531,0.0025681844353022,2.6476795722282253e-13,7.1596408081249325e-09,3.579754211008718e-05,7.159508422018876e-09
Weather-only CatBoost,Weather-only CatBoost,Weather-only CatBoost,CatBoost,meteorology/history features only,meteorology/history features only,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,1.976786395170684e-05,0.0002498540351865,0.0002498540351865,0.7185390216988152,0.7185390216988152,0.0001036532186251,0.0001036532186251,0.0011402121748156,0.0001095137509534,0.0006706540113286,0.0002207653680556,0.5343537573895168,0.0007128854036713,0.0003567606136282,0.4,2.051833093387501e-05,16818.0,-0.0775275189067763,0.8408640071522177,2.8605680567235927,15.0,0.1907045371149061,0.0,6.680048564669502e-05,0.066845953086967,0.0002663155269295,6.238285453662721e-12,1.522878342917459e-07,1.4691416669829408e-05,1.469141666981986e-09
FWI-only CatBoost,FWI-only CatBoost,FWI-only CatBoost,CatBoost,fire-weather variables only,fire-weather variables only,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.951249970731248e-05,0.000307557579337,0.000307557579337,0.7530456614297363,0.7530456614297363,9.95095958390212e-05,9.95095958390212e-05,0.001083205808779,9.419460460953269e-05,0.0003429609283137,0.0001444877434692,9.826222684703437,0.002658690594882,0.0013493569470799,0.0896358543417367,2.5104544365738588e-05,23715.0,-0.0770359260184838,0.844417765050608,69.9999999999999,357.0,0.1960784313725487,0.0,7.3764387135965885e-06,0.0371975364440568,5.46919968157971e-05,9.493838041381923e-12,2.260585473435016e-07,0.0003258542646464,3.2585426464646376e-08
FWI-only CatBoost,FWI-only CatBoost,FWI-only CatBoost,CatBoost,fire-weather variables only,fire-weather variables only,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,1.9830399621744155e-05,0.0003275842893065,0.0003275842893065,0.7316347621218632,0.7316347621218632,9.004878737480669e-05,9.004878737480669e-05,0.0009823828847054,8.282067130919052e-05,0.000316404647307,0.0001243099737483,6.698559083449555,0.0028018562297522,0.0014159918580468,0.1316872427983539,2.5104544365738588e-05,22599.0,-0.0773834457613398,0.8458982311338024,53.51086592970459,243.0,0.2202093248135991,0.0,0.000326471489256,0.1955964564870829,0.0010839219059443,2.737447251785658e-10,5.966743603254699e-06,0.0002328517579628,2.3285175796287706e-08
FWI-only CatBoost,FWI-only CatBoost,FWI-only CatBoost,CatBoost,fire-weather variables only,fire-weather variables only,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,2.0490898958785235e-05,0.0045641279199631,0.0045641279199631,0.948240780110494,0.948240780110494,0.0001966448674345,0.0001966448674345,0.0021066873199091,0.0002080483309607,0.0035010063605648,0.0007843247347945,1.014092908344308,0.0117785630153121,0.0059297912713472,0.8620689655172413,2.490358440135505e-05,4216.0,-0.0718100269007678,0.785879897805338,3.021731396755182,29.0,0.1041976343708683,0.0,0.0022011801752304,0.0176856260722604,0.005154447849078,1.5495832119983107e-10,3.129322534663552e-06,5.010077531368094e-05,1.002015506273538e-08
FWI-only CatBoost,FWI-only CatBoost,FWI-only CatBoost,CatBoost,fire-weather variables only,fire-weather variables only,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,2.1274428511134027e-05,0.0001720293741717,0.0001720293741717,0.6758822702779907,0.6758822702779907,0.0001036526168709,0.0001036526168709,0.0011263271990688,0.0001038023658947,0.0005291076278374,0.0001646458171767,0.5383307596428887,0.0003673544358048,0.0001837193992375,0.8,2.374005809664378e-05,65317.0,-0.0781715645665881,0.8466991317016745,3.0785800009891826,15.0,0.2052386667326121,0.0,0.0002039564853528,0.1700938679316875,0.0004076131794486,7.747555536710489e-11,1.612838210351445e-06,5.275464893877266e-05,5.275464893878332e-09
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.960414070731809e-05,0.0004952894451177,0.0004952894451177,0.8186534231873184,0.8186534231873184,9.950593874931325e-05,9.950593874931325e-05,0.0010358198800592,8.268308440560143e-05,0.0003283010826675,0.0001344002248553,9.775962841515842,0.0067567567567567,0.0085106382978723,0.0056022408963585,0.000229243696103,235.0,-0.0694999039634961,0.8387300107212204,70.32875697176418,357.0,0.1969993192486391,0.0,0.0002755712052849,0.0185457299096081,0.0006475336824052,1.7285932188473162e-09,1.4262399145067924e-05,0.0016196095063553,1.6196095042341277e-07
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,2.218620704135172e-05,0.0005409693622613,0.0005409693622613,0.7883113304222414,0.7883113304222414,9.00451735737374e-05,9.00451735737374e-05,0.0009388885729354,7.071334742419014e-05,0.0002415132820601,0.0001072872092624,6.530422724079625,0.00836820083682,0.0085106382978723,0.0082304526748971,0.000229243696103,235.0,-0.0710952480425668,0.8474828438110992,59.86783793739871,243.0,0.2463697034460852,0.0,0.0008461961474881,0.1400034653519419,0.0017076095318606,7.213626880410639e-09,6.891140863943402e-05,0.0034122957249338,3.412295720337856e-07
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.0001966541666949,1.3256916392334191e-05,0.0124049165989664,0.0124049165989664,0.9487010554056386,0.9487010554056386,0.0001966328915578,0.0001966328915578,0.0019694027256754,0.0002035106512582,0.0036184666081931,0.0008102091363048,0.986653779746426,0.0710059171597633,0.0428571428571428,0.2068965517241379,9.560898719414072e-05,140.0,-0.061281794328839,0.7577441417161664,1.9549576896283465,29.0,0.0674123341251154,0.0,0.0035950951904338,0.1901260056536043,0.0,4.501818484957403e-09,0.0001008191780327,0.0002740816177721,5.481632355442769e-08
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.0001036570196533,1.97044645725866e-05,0.0004208651400749,0.0004208651400749,0.8463473238742256,0.8463473238742256,0.0001036497701016,0.0001036497701016,0.0010794570461684,0.0001021173259949,0.0005185023769357,0.0001940728206292,0.5235680719773224,0.0014343772412144,0.0007197696737044,0.2,5.051220940110504e-05,4168.0,-0.0732687320560168,0.8420485240012764,2.8513936593698617,15.0,0.1900929106246574,0.0,0.0003106147123807,0.0440571581837402,0.000638597174158,8.071358434014621e-10,1.012941937084721e-05,0.0004884280693445,4.884280693445065e-08
Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,3.374692595994348e-05,0.001291201654417044,0.001291201654417044,0.9395800389389092,0.9395800389389092,9.948238364510811e-05,9.948238364510811e-05,0.0009067638852135707,7.945147328443837e-05,0.000990797681870437,0.00023537906752923128,8.747491569467847,0.004120004494550358,0.0020879204312504746,0.15406162464985995,0.00026681058953012635,26342.0,-0.0713687467092333,0.8797745620341018,121.06520705344346,357.0,0.33911822704045785,0.0,0.0008931456371831302,0.03320346147837796,0.006060656275431992,3.212271952433408e-09,1.6246970734009875e-05,0.0015324071599058845,1.5324071599058845e-07
Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,3.231387359611509e-05,0.001274421398168027,0.001274421398168027,0.9401010177449564,0.9401010177449564,9.00231627388723e-05,9.00231627388723e-05,0.0008210032248720926,6.965263926466417e-05,0.0009011238740336394,0.00021294385477558218,5.968995086941073,0.004490950734270445,0.002270250635670178,0.205761316872428,0.00026953895724235043,22024.0,-0.07148509013923744,0.8867198729982477,87.19659667247046,243.0,0.3588337311624299,0.0,0.0012153319363295868,0.0869835458911039,0.0026055609079341877,9.908070072367492e-09,5.524077947885622e-05,0.002200782858907367,2.2007828589073765e-07
Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.00019665416669492158,1.6407928964804573e-05,0.023925233143696222,0.023925233143696222,0.9957270174581858,0.9957270174581858,0.00019656868310439907,0.00019656868310439907,0.0016765686021595345,0.0002018935672586861,0.0038210612030298227,0.0008545864836744772,0.9868825262537335,0.058919803600654665,0.030927835051546393,0.6206896551724138,0.00021992509800449037,582.0,-0.05061446185556339,0.7802088325664073,2.419628060652836,29.0,0.08343545036733917,0.0,0.005502685097539449,0.0005437177942561477,0.015122031375988934,3.307909701290051e-09,7.368299736110241e-06,0.0007513021585575678,1.5026043171151286e-07
Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.00010365701965337093,7.550404835854114e-05,0.0007341752594374495,0.0007341752594374495,0.7887582675043021,0.7887582675043021,0.00010363665395353586,0.00010363665395353586,0.0010072376669056234,6.803474522915433e-05,0.0003427965159673563,0.00010242314492040371,0.6349699330492171,0.0058309037900874635,0.003048780487804878,0.06666666666666667,0.0002712622771108163,328.0,-0.09591396867664265,0.9527093047406955,10.926039829867772,15.0,0.7284026553245181,0.0,0.0035944166556175932,0.09651876187104719,0.014808487193779309,9.318405837487711e-09,2.968083192477589e-05,0.0035013552455452736,3.501355245545258e-07
